{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 35.87786259541985 1254.7469961846948
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 35.267857142857146 1196.1413477380036
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 33.273056057866185 1121.4545630289067
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 34.34650455927052 1099.802613453952
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 35.06711409395973 1084.0138196114722
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 34.542815674891145 1081.15969488538
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 36.156351791530945 1072.374483154713
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 33.87703889585947 1070.7868673064688
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 10} 34.642356241234225 1041.7947031931913
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 180, 'mfi_period': 10} 35.188216039279865 1030.1458550861057
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 35.68147013782542 993.9850815677064
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 34.206695778748184 990.5802729157606
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 33.71069182389937 967.0893725874341
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 10} 34.41011235955056 965.5731649343315
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 90, 'mfi_period': 14} 35.725938009787924 958.8260493986121
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 30, 'z_score_period': 180, 'mfi_period': 10} 35.02235469448584 958.6060066999312
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 35.333333333333336 955.6271010159863
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.3, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.2, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 34.02985074626866 928.5435429960309
{'market': 'ALL', 'position_bid': 0.6, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 35.4 911.661864761026
{'market': 'ALL', 'position_bid': 0.7, 'position_ask': 0.4, 'mfi_bid': 75, 'mfi_ask': 10, 'z_score': -1.3, 'maxPnl': 20, 'z_score_period': 90, 'mfi_period': 14} 36.853932584269664 909.7702056978242
